"uid" "id" "symbol" "ensembleid"
"167" 167 7414 "VCL" "9606.ENSP00000211998"
"168" 168 23411 "SIRT1" "9606.ENSP00000212015"
"169" 169 7049 "TGFBR3" "9606.ENSP00000212355"
"170" 170 11018 "TMED1" "9606.ENSP00000214869"
"171" 171 7593 "MZF1" "9606.ENSP00000215057"
"172" 172 112755 "STX1B" "9606.ENSP00000215095"
"173" 173 1943 "EFNA2" "9606.ENSP00000215368"
"174" 174 27006 "FGF22" "9606.ENSP00000215530"
"175" 175 997 "CDC34" "9606.ENSP00000215574"
"176" 176 5434 "POLR2E" "9606.ENSP00000215587"
"177" 177 -1 "-1" "9606.ENSP00000215591"
"178" 178 4616 "GADD45B" "9606.ENSP00000215631"
"179" 179 8174 "MADCAM1" "9606.ENSP00000215637"
"180" 180 6300 "MAPK12" "9606.ENSP00000215659"
"181" 181 3053 "SERPIND1" "9606.ENSP00000215727"
"182" 182 9342 "SNAP29" "9606.ENSP00000215730"
"183" 183 4282 "MIF" "9606.ENSP00000215754"
"186" 186 5008 "OSM" "9606.ENSP00000215781"
"187" 187 11274 "USP18" "9606.ENSP00000215794"
"188" 188 6634 "SNRPD3" "9606.ENSP00000215829"
"189" 189 5594 "MAPK1" "9606.ENSP00000215832"
"190" 190 22880 "MORC2" "9606.ENSP00000215862"
"191" 191 50487 "PLA2G3" "9606.ENSP00000215885"
"192" 192 3956 "LGALS1" "9606.ENSP00000215909"
"193" 193 129138 "ANKRD54" "9606.ENSP00000215941"
"194" 194 4809 "SNU13" "9606.ENSP00000215956"
"195" 195 11144 "DMC1" "9606.ENSP00000216024"
"196" 196 25776 "CBY1" "9606.ENSP00000216029"
"197" 197 27156 "RSPH14" "9606.ENSP00000216036"
"198" 198 7494 "XBP1" "9606.ENSP00000216037"
"199" 199 10633 "RASL10A" "9606.ENSP00000216101"
"200" 200 638 "BIK" "9606.ENSP00000216115"
"201" 201 3162 "HMOX1" "9606.ENSP00000216117"
"202" 202 4174 "MCM5" "9606.ENSP00000216122"
"203" 203 23551 "RASD2" "9606.ENSP00000216127"
"204" 204 23492 "CBX7" "9606.ENSP00000216133"
"205" 205 164633 "CABP7" "9606.ENSP00000216144"
"206" 206 10454 "TAB1" "9606.ENSP00000216160"
"207" 207 80339 "PNPLA3" "9606.ENSP00000216180"
"208" 208 4627 "MYH9" "9606.ENSP00000216181"
"209" 209 25828 "TXN2" "9606.ENSP00000216185"
"210" 210 8664 "EIF3D" "9606.ENSP00000216190"
"211" 211 5816 "PVALB" "9606.ENSP00000216200"
"212" 212 3560 "IL2RB" "9606.ENSP00000216223"
"213" 213 9978 "RBX1" "9606.ENSP00000216225"
"214" 214 150356 "CHADL" "9606.ENSP00000216241"
"215" 215 23774 "BRD1" "9606.ENSP00000216267"
"216" 216 83933 "HDAC10" "9606.ENSP00000216271"
"217" 217 11035 "RIPK3" "9606.ENSP00000216274"
"218" 218 10914 "PAPOLA" "9606.ENSP00000216277"
"219" 219 11198 "SUPT16H" "9606.ENSP00000216297"
"220" 220 2287 "FKBP3" "9606.ENSP00000216330"
"221" 221 1511 "CTSG" "9606.ENSP00000216336"
"222" 222 3002 "GZMB" "9606.ENSP00000216341"
"223" 223 5427 "POLE2" "9606.ENSP00000216367"
"224" 224 6655 "SOS2" "9606.ENSP00000216373"
"225" 225 5836 "PYGL" "9606.ENSP00000216392"
"226" 226 9517 "SPTLC2" "9606.ENSP00000216484"
"227" 227 1113 "CHGA" "9606.ENSP00000216492"
"228" 228 51804 "SIX4" "9606.ENSP00000216513"
"229" 229 6554 "SLC10A1" "9606.ENSP00000216540"
"230" 230 1983 "EIF5" "9606.ENSP00000216554"
"231" 231 623 "BDKRB1" "9606.ENSP00000216629"
"232" 232 7443 "VRK1" "9606.ENSP00000216639"
"233" 233 328 "APEX1" "9606.ENSP00000216714"
"234" 234 10278 "EFS" "9606.ENSP00000216733"
"235" 235 5106 "PCK2" "9606.ENSP00000216780"
"236" 236 4792 "NFKBIA" "9606.ENSP00000216797"
"237" 237 5721 "PSME2" "9606.ENSP00000216802"
"238" 238 84312 "BRMS1L" "9606.ENSP00000216807"
"239" 239 1591 "CYP24A1" "9606.ENSP00000216862"
"240" 240 6790 "AURKA" "9606.ENSP00000216911"
"241" 241 55734 "ZFP64" "9606.ENSP00000216923"
"242" 242 5834 "PYGB" "9606.ENSP00000216962"
"243" 243 4605 "MYBL2" "9606.ENSP00000217026"
"244" 244 57167 "SALL4" "9606.ENSP00000217086"
"245" 245 1477 "CSTF1" "9606.ENSP00000217109"
"246" 246 57473 "ZNF512B" "9606.ENSP00000217130"
"247" 247 81027 "TUBB1" "9606.ENSP00000217133"
"248" 248 28231 "SLCO4A1" "9606.ENSP00000217159"
"249" 249 79444 "BIRC7" "9606.ENSP00000217169"
"250" 250 5753 "PTK6" "9606.ENSP00000217185"
"251" 251 6725 "SRMS" "9606.ENSP00000217188"
"252" 252 57761 "TRIB3" "9606.ENSP00000217233"
"253" 253 1457 "CSNK2A1" "9606.ENSP00000217244"
"254" 254 5173 "PDYN" "9606.ENSP00000217305"
"255" 255 5020 "OXT" "9606.ENSP00000217386"
"256" 256 3929 "LBP" "9606.ENSP00000217407"
"257" 257 1472 "CST4" "9606.ENSP00000217423"
"258" 258 191 "AHCY" "9606.ENSP00000217426"
"259" 259 9352 "TXNL1" "9606.ENSP00000217515"
"260" 260 10627 "MYL12A" "9606.ENSP00000217652"
"261" 261 54941 "RNF125" "9606.ENSP00000217740"
"262" 262 25878 "MXRA5" "9606.ENSP00000217939"
"263" 263 5716 "PSMD10" "9606.ENSP00000217958"
"264" 264 412 "STS" "9606.ENSP00000217961"
"265" 265 6907 "TBL1X" "9606.ENSP00000217964"
"266" 266 10857 "PGRMC1" "9606.ENSP00000217971"
"267" 267 158800 "RHOXF1" "9606.ENSP00000217999"
"268" 268 2986 "GUCY2F" "9606.ENSP00000218006"
"269" 269 23439 "ATP1B4" "9606.ENSP00000218008"
"270" 270 51311 "TLR8" "9606.ENSP00000218032"
"271" 271 10735 "STAG2" "9606.ENSP00000218089"
"272" 272 2158 "F9" "9606.ENSP00000218099"
"273" 273 9016 "SLC25A14" "9606.ENSP00000218197"
"274" 274 282808 "RAB40AL" "9606.ENSP00000218249"
"275" 275 7076 "TIMP1" "9606.ENSP00000218388"
"276" 276 479 "ATP12A" "9606.ENSP00000218548"
"277" 277 54 "ACP5" "9606.ENSP00000218758"
"278" 278 10562 "OLFM4" "9606.ENSP00000219022"
"281" 281 4313 "MMP2" "9606.ENSP00000219070"
"282" 282 7755 "ZNF205" "9606.ENSP00000219091"
"283" 283 23594 "ORC6" "9606.ENSP00000219097"
"284" 284 11151 "CORO1A" "9606.ENSP00000219150"
"285" 285 10204 "NUTF2" "9606.ENSP00000219169"
"286" 286 869 "CBLN1" "9606.ENSP00000219197"
"287" 287 6367 "CCL22" "9606.ENSP00000219235"
"288" 288 1723 "DHODH" "9606.ENSP00000219240"
"289" 289 6361 "CCL17" "9606.ENSP00000219244"
"290" 290 50855 "PARD6A" "9606.ENSP00000219255"
"291" 291 4324 "MMP15" "9606.ENSP00000219271"
"292" 292 55512 "SMPD3" "9606.ENSP00000219334"
"293" 293 79152 "FA2H" "9606.ENSP00000219368"
"294" 294 64714 "PDIA2" "9606.ENSP00000219406"
"295" 295 398 "ARHGDIG" "9606.ENSP00000219409"
"296" 296 4350 "MPG" "9606.ENSP00000219431"
"297" 297 7249 "TSC2" "9606.ENSP00000219476"
"298" 298 26048 "ZNF500" "9606.ENSP00000219478"
"299" 299 10273 "STUB1" "9606.ENSP00000219548"
"300" 300 9028 "RHBDL1" "9606.ENSP00000219551"
"301" 301 -1 "-1" "9606.ENSP00000219593"
"302" 302 4210 "MEFV" "9606.ENSP00000219596"
"303" 303 343 "AQP8" "9606.ENSP00000219660"
"304" 304 3163 "HMOX2" "9606.ENSP00000219700"
"305" 305 27324 "TOX3" "9606.ENSP00000219746"
"306" 306 4150 "MAZ" "9606.ENSP00000219782"
"307" 307 10423 "CDIPT" "9606.ENSP00000219789"
"308" 308 10295 "BCKDK" "9606.ENSP00000219794"
"309" 309 23269 "MGA" "9606.ENSP00000219905"
"310" 310 366 "AQP9" "9606.ENSP00000219919"
"311" 311 1445 "CSK" "9606.ENSP00000220003"
"312" 312 51285 "RASL12" "9606.ENSP00000220062"
"313" 313 1512 "CTSH" "9606.ENSP00000220166"
"314" 314 30844 "EHD4" "9606.ENSP00000220325"
"317" 317 171177 "RHOV" "9606.ENSP00000220507"
"318" 318 2222 "FDFT1" "9606.ENSP00000220584"
"319" 319 27161 "AGO2" "9606.ENSP00000220592"
"320" 320 55824 "PAG1" "9606.ENSP00000220597"
"321" 321 7038 "TG" "9606.ENSP00000220616"
"322" 322 8767 "RIPK2" "9606.ENSP00000220751"
"323" 323 1666 "DECR1" "9606.ENSP00000220764"
"324" 324 6422 "SFRP1" "9606.ENSP00000220772"
"325" 325 5327 "PLAT" "9606.ENSP00000220809"
"326" 326 27121 "DKK4" "9606.ENSP00000220812"
"327" 327 3646 "EIF3E" "9606.ENSP00000220849"
"328" 328 54108 "CHRAC1" "9606.ENSP00000220913"
"329" 329 83988 "NCALD" "9606.ENSP00000220931"
"330" 330 2765 "GML" "9606.ENSP00000220940"
"331" 331 8797 "TNFRSF10A" "9606.ENSP00000221132"
"332" 332 5516 "PPP2CB" "9606.ENSP00000221138"
"333" 333 -1 "-1" "9606.ENSP00000221204"
"334" 334 56915 "EXOSC5" "9606.ENSP00000221233"
"335" 335 54623 "PAF1" "9606.ENSP00000221265"
"336" 336 4051 "CYP4F3" "9606.ENSP00000221307"
"337" 337 9668 "ZNF432" "9606.ENSP00000221315"
"338" 338 7733 "ZNF180" "9606.ENSP00000221327"
"339" 339 3972 "LHB" "9606.ENSP00000221421"
"340" 340 5971 "RELB" "9606.ENSP00000221452"
"341" 341 1158 "CKM" "9606.ENSP00000221476"
"342" 342 57030 "SLC17A7" "9606.ENSP00000221485"
"343" 343 268 "AMH" "9606.ENSP00000221496"
"344" 344 56729 "RETN" "9606.ENSP00000221515"
"345" 345 79735 "TBC1D17" "9606.ENSP00000221543"
"346" 346 166 "AES" "9606.ENSP00000221561"
"347" 347 6449 "SGTA" "9606.ENSP00000221566"
"348" 348 84922 "FIZ1" "9606.ENSP00000221665"
"349" 349 8529 "CYP4F2" "9606.ENSP00000221700"
"350" 350 -1 "-1" "9606.ENSP00000221722"
"351" 351 -1 "-1" "9606.ENSP00000221740"
"352" 352 10148 "EBI3" "9606.ENSP00000221847"
"353" 353 7040 "TGFB1" "9606.ENSP00000221930"
"354" 354 973 "CD79A" "9606.ENSP00000221972"
"355" 355 1406 "CRX" "9606.ENSP00000221996"
"356" 356 6822 "SULT2A1" "9606.ENSP00000222002"
"357" 357 11140 "CDC37" "9606.ENSP00000222005"
"358" 358 3036 "HAS1" "9606.ENSP00000222115"
"359" 359 1628 "DBP" "9606.ENSP00000222122"
"360" 360 828 "CAPS" "9606.ENSP00000222125"
"361" 361 2057 "EPOR" "9606.ENSP00000222139"
"362" 362 54922 "RASIP1" "9606.ENSP00000222145"
"363" 363 26291 "FGF21" "9606.ENSP00000222157"
"364" 364 59284 "CACNG7" "9606.ENSP00000222212"
"365" 365 5296 "PIK3R2" "9606.ENSP00000222254"
"366" 366 5864 "RAB3A" "9606.ENSP00000222256"
"367" 367 55851 "PSENEN" "9606.ENSP00000222266"
"368" 368 -1 "-1" "9606.ENSP00000222270"
"369" 369 1311 "COMP" "9606.ENSP00000222271"
"370" 370 26330 "GAPDHS" "9606.ENSP00000222286"
"371" 371 57817 "HAMP" "9606.ENSP00000222304"
"372" 372 7392 "USF2" "9606.ENSP00000222305"
"373" 373 23770 "FKBP8" "9606.ENSP00000222308"
"374" 374 2077 "ERF" "9606.ENSP00000222329"
"375" 375 2931 "GSK3A" "9606.ENSP00000222330"
"376" 376 5444 "PON1" "9606.ENSP00000222381"
"377" 377 64816 "CYP3A43" "9606.ENSP00000222382"
"378" 378 3082 "HGF" "9606.ENSP00000222390"
"379" 379 3912 "LAMB1" "9606.ENSP00000222399"
"380" 380 51619 "UBE2D4" "9606.ENSP00000222402"
"381" 381 51384 "WNT16" "9606.ENSP00000222462"
"382" 382 7980 "TFPI2" "9606.ENSP00000222543"
"383" 383 10282 "BET1" "9606.ENSP00000222547"
"384" 384 10135 "NAMPT" "9606.ENSP00000222553"
"385" 385 3696 "ITGB8" "9606.ENSP00000222573"
"386" 386 26959 "HBP1" "9606.ENSP00000222574"
"387" 387 6671 "SP4" "9606.ENSP00000222584"
"388" 388 1749 "DLX5" "9606.ENSP00000222598"
"389" 389 51678 "MPP6" "9606.ENSP00000222644"
"390" 390 858 "CAV2" "9606.ENSP00000222693"
"391" 391 3199 "HOXA2" "9606.ENSP00000222718"
"392" 392 3955 "LFNG" "9606.ENSP00000222725"
"393" 393 3202 "HOXA5" "9606.ENSP00000222726"
"394" 394 3209 "HOXA13" "9606.ENSP00000222753"
"397" 397 55033 "FKBP14" "9606.ENSP00000222803"
"398" 398 6804 "STX1A" "9606.ENSP00000222812"
"399" 399 10392 "NOD1" "9606.ENSP00000222823"
"400" 400 1577 "CYP3A5" "9606.ENSP00000222982"
"401" 401 8976 "WASL" "9606.ENSP00000223023"
"402" 402 7036 "TFR2" "9606.ENSP00000223051"
"403" 403 64598 "MOSPD3" "9606.ENSP00000223054"
"404" 404 5054 "SERPINE1" "9606.ENSP00000223095"
"405" 405 6119 "RPA3" "9606.ENSP00000223129"
"406" 406 93408 "MYL10" "9606.ENSP00000223167"
"407" 407 4899 "NRF1" "9606.ENSP00000223190"
"408" 408 643641 "ZNF862" "9606.ENSP00000223210"
"409" 409 5919 "RARRES2" "9606.ENSP00000223271"
"410" 410 165 "AEBP1" "9606.ENSP00000223357"
"411" 411 58498 "MYL7" "9606.ENSP00000223364"
"412" 412 2645 "GCK" "9606.ENSP00000223366"
"413" 413 10652 "YKT6" "9606.ENSP00000223369"
"414" 414 22869 "ZNF510" "9606.ENSP00000223428"
"415" 415 146542 "ZNF688" "9606.ENSP00000223459"
"416" 416 727 "C5" "9606.ENSP00000223642"
"417" 417 944 "TNFSF8" "9606.ENSP00000223795"
"418" 418 6013 "RLN1" "9606.ENSP00000223862"
"419" 419 733 "C8G" "9606.ENSP00000224181"
"420" 420 7431 "VIM" "9606.ENSP00000224237"
"421" 421 29760 "BLNK" "9606.ENSP00000224337"
"422" 422 1592 "CYP26A1" "9606.ENSP00000224356"
"423" 423 -1 "-1" "9606.ENSP00000224605"
"424" 424 -1 "-1" "9606.ENSP00000224764"
"425" 425 59 "ACTA2" "9606.ENSP00000224784"
"426" 426 81855 "SFXN3" "9606.ENSP00000224807"
"427" 427 79991 "OBFC1" "9606.ENSP00000224950"
"428" 428 10105 "PPIF" "9606.ENSP00000225174"
"429" 429 23232 "TBC1D12" "9606.ENSP00000225235"
"430" 430 -1 "-1" "9606.ENSP00000225245"
"431" 431 4353 "MPO" "9606.ENSP00000225275"
"432" 432 6143 "RPL19" "9606.ENSP00000225430"
"433" 433 1440 "CSF3" "9606.ENSP00000225474"
"436" 436 9570 "GOSR2" "9606.ENSP00000225567"
"437" 437 6198 "RPS6KB1" "9606.ENSP00000225577"
"438" 438 2584 "GALK1" "9606.ENSP00000225614"
"439" 439 5216 "PFN1" "9606.ENSP00000225655"
"440" 440 51655 "RASD1" "9606.ENSP00000225688"
"441" 441 708 "C1QBP" "9606.ENSP00000225698"
"442" 442 51003 "MED31" "9606.ENSP00000225728"
"443" 443 11216 "AKAP10" "9606.ENSP00000225737"
"444" 444 1655 "DDX5" "9606.ENSP00000225792"
"445" 445 40 "ASIC2" "9606.ENSP00000225823"
"446" 446 6347 "CCL2" "9606.ENSP00000225831"
"447" 447 6346 "CCL1" "9606.ENSP00000225842"
"448" 448 6357 "CCL13" "9606.ENSP00000225844"
"449" 449 -1 "-1" "9606.ENSP00000225893"
"450" 450 2648 "KAT2A" "9606.ENSP00000225916"
"451" 451 51225 "ABI3" "9606.ENSP00000225941"
"452" 452 1277 "COL1A1" "9606.ENSP00000225964"
"453" 453 10014 "HDAC5" "9606.ENSP00000225983"
"454" 454 5539 "PPY" "9606.ENSP00000225992"
"455" 455 1845 "DUSP3" "9606.ENSP00000226004"
"456" 456 786 "CACNG1" "9606.ENSP00000226021"
"457" 457 3131 "HLF" "9606.ENSP00000226067"
"458" 458 1949 "EFNB3" "9606.ENSP00000226091"
"459" 459 5957 "RCVRN" "9606.ENSP00000226193"
"460" 460 4619 "MYH1" "9606.ENSP00000226207"
"461" 461 -1 "-1" "9606.ENSP00000226209"
"462" 462 7448 "VTN" "9606.ENSP00000226218"
"463" 463 8456 "FOXN1" "9606.ENSP00000226247"
"464" 464 952 "CD38" "9606.ENSP00000226279"
"465" 465 3381 "IBSP" "9606.ENSP00000226284"
"466" 466 6372 "CXCL6" "9606.ENSP00000226317"
"467" 467 8929 "PHOX2B" "9606.ENSP00000226382"
"468" 468 2798 "GNRHR" "9606.ENSP00000226413"
"469" 469 6783 "SULT1E1" "9606.ENSP00000226444"
"470" 470 5197 "PF4V1" "9606.ENSP00000226524"
"471" 471 4790 "NFKB1" "9606.ENSP00000226574"
"472" 472 3558 "IL2" "9606.ENSP00000226730"
"473" 473 7466 "WFS1" "9606.ENSP00000226760"
"474" 474 3732 "CD82" "9606.ENSP00000227155"
"475" 475 6688 "SPI1" "9606.ENSP00000227163"
"476" 476 -1 "-1" "9606.ENSP00000227256"
"477" 477 1075 "CTSC" "9606.ENSP00000227266"
"478" 478 3312 "HSPA8" "9606.ENSP00000227378"
"479" 479 23220 "DTX4" "9606.ENSP00000227451"
"480" 480 595 "CCND1" "9606.ENSP00000227507"
"481" 481 27339 "PRPF19" "9606.ENSP00000227524"
"482" 482 116519 "APOA5" "9606.ENSP00000227665"
"483" 483 345 "APOC3" "9606.ENSP00000227667"
"484" 484 3587 "IL10RA" "9606.ENSP00000227752"
"485" 485 329 "BIRC2" "9606.ENSP00000227758"
"486" 486 84649 "DGAT2" "9606.ENSP00000228027"
"487" 487 8531 "YBX3" "9606.ENSP00000228251"
"488" 488 4254 "KITLG" "9606.ENSP00000228280"
"489" 489 9733 "SART3" "9606.ENSP00000228284"
"490" 490 10795 "ZNF268" "9606.ENSP00000228289"
"491" 491 5829 "PXN" "9606.ENSP00000228307"
